No 	 Layer Name 	 Neuron Idx 	 Mask 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
185.00 	 layer4.1.bn2 	 67 	 0.0 	 0.8694 	 0.7625 	 0.2990 	 0.9217
198.00 	 layer2.0.bn2 	 72 	 0.05 	 0.9014 	 0.7344 	 0.3214 	 0.9178
206.00 	 layer2.0.bn2 	 125 	 0.1 	 0.8751 	 0.7536 	 0.3140 	 0.9201
216.00 	 layer4.1.bn2 	 414 	 0.15000000000000002 	 0.7850 	 0.8084 	 0.3333 	 0.9152
222.00 	 layer4.1.bn2 	 151 	 0.2 	 1.0709 	 0.6752 	 0.3500 	 0.9111
237.00 	 layer3.0.bn1 	 34 	 0.25 	 1.4710 	 0.4914 	 0.3746 	 0.9050
251.00 	 layer2.1.bn1 	 0 	 0.30000000000000004 	 1.6585 	 0.4024 	 0.4164 	 0.8943
272.00 	 layer4.0.bn2 	 93 	 0.35000000000000003 	 2.5369 	 0.1516 	 0.5364 	 0.8603
300.00 	 layer4.1.bn2 	 85 	 0.4 	 3.3813 	 0.0317 	 0.8362 	 0.7693
336.00 	 layer2.0.bn1 	 61 	 0.45 	 2.2735 	 0.1232 	 1.0596 	 0.6999
357.00 	 layer4.1.bn2 	 222 	 0.5 	 2.3011 	 0.1013 	 1.2640 	 0.6323
382.00 	 layer4.0.bn2 	 343 	 0.55 	 2.3583 	 0.0786 	 1.4905 	 0.5688
432.00 	 layer4.1.bn2 	 411 	 0.6000000000000001 	 1.8924 	 0.1049 	 2.0107 	 0.4147
481.00 	 layer1.0.bn1 	 43 	 0.65 	 3.2870 	 0.0003 	 2.6551 	 0.2932
566.00 	 layer1.0.bn2 	 26 	 0.7000000000000001 	 4.2083 	 0.0000 	 3.0800 	 0.2157
675.00 	 layer2.1.bn1 	 36 	 0.75 	 6.8857 	 0.0000 	 3.7618 	 0.1442
817.00 	 layer3.1.bn2 	 73 	 0.8 	 7.7030 	 0.0000 	 4.2381 	 0.1045
989.00 	 layer4.0.bn2 	 339 	 0.8500000000000001 	 6.2154 	 0.0000 	 3.8841 	 0.0952
1251.00 	 layer4.1.bn1 	 43 	 0.9 	 5.7193 	 0.0000 	 3.4815 	 0.1035
